,username,tweet_id,tweet_date,tweet_content,tweet_retweet_count,tweet_quote_count,tweet_reply_count,tweet_like_count
6622,JoeBiden,1180232373880922120,10/04/2019,"It has been 219 days since the House passed the bipartisan universal background check bill. Every day since, @senatemajldr McConnell has refused to bring it up for a vote.

Enough. How many more Americans must die for Senate Republicans to stand up to the @NRA and take action?",5058,239,815,19055
6623,JoeBiden,1180211734818279427,10/04/2019,Looking forward to joining @SEIU at the #UnionsForAll Summit this afternoon to talk about my plans to protect and strengthen America’s unions and rebuild the middle class. Tune in: https://t.co/gXE6IEZjvn,158,7,150,656
6624,JoeBiden,1180194280536707072,10/04/2019,"This is who Donald Trump is.

A president who abuses the power of the Oval Office to win re-election, turns his back on the fight for democracy in Hong Kong, and puts his own self-interest above the public good.

We have to show the world who we are. https://t.co/Bn24RHqQua",4824,245,1357,21516
6625,JoeBiden,1180176254143778816,10/04/2019,"Extreme risk laws save lives. Period.

As president, I will incentivize states to adopt these important laws to help keep guns out of dangerous hands.

Read my full plan to end our gun violence epidemic: https://t.co/AbTUKdY7Bv https://t.co/gVurhsNdlO",207,28,201,880
6626,JoeBiden,1180151199644946432,10/04/2019,"It's clear President Trump doesn't care about the farmers and manufacturers being crushed by his reckless trade war—just this week, 160 workers were laid off in the Quad Cities. Enough.

As president, I will end these failed policies and put American workers first. https://t.co/nwHvMTc3N9",1606,93,559,6492
6627,JoeBiden,1180131710551384066,10/04/2019,"I’m not surprised President Trump asked foreign governments for help to beat me and that his special interest friends are spending millions to attack me.

But we can't let the lies, smears, and distortions distract us from what's at stake in this election. https://t.co/RE9qQ59wHB",3969,252,1339,19237
6628,JoeBiden,1179915284297191425,10/04/2019,The idea of Donald Trump attacking anyone’s integrity is a joke.,17778,1401,5516,136424
6629,JoeBiden,1179903959810617349,10/03/2019,"Our children should not have to worry about their safety at school. Enough is enough. We must take action to end our gun violence epidemic.

https://t.co/AbTUKdY7Bv https://t.co/FKVffIr49h",596,29,314,3650
6630,JoeBiden,1179875019209371648,10/03/2019,"You should need to pass a background check to buy a gun. Period.

I will enact universal background check legislation and close loopholes that allow guns to fall into the wrong hands.

Read my full plan to end gun violence: https://t.co/AbTUKdGwcV https://t.co/pEl8KBvwct",425,26,304,2463
6631,JoeBiden,1179845362506448897,10/03/2019,"Mr. President, you cannot extort foreign governments to help you win re-election. It’s an abuse of power. It violates your oath of office. And it jeopardizes our national security. I know you want to rig the primary and pick your opponent, but I’m not going anywhere. https://t.co/LZQ8W3fmU6",10342,711,2908,53595
6632,JoeBiden,1179832237182742530,10/03/2019,We’re going to do more than just beat President Trump — we’re going to beat him like a drum. https://t.co/A09Dh7Uqmp,2063,266,1523,12533
6633,JoeBiden,1179813362739232768,10/03/2019,All the progress we've made on domestic violence and sexual assault has been because of people like Bonnie Campbell. Grateful for her kind words in reflecting on the history of the Violence Against Women Act. https://t.co/tROLeoy3Me,334,19,175,1535
6634,JoeBiden,1179605744745758720,10/03/2019,"I will put the integrity of my whole career in public service to this nation up against President Trump's long record of lying, cheating, and stealing any day of the week. https://t.co/ABf0robBtr",7906,542,2644,47102
6635,JoeBiden,1179547863577223168,10/03/2019,"Because of the courage and determination of folks like @GabbyGiffords and groups like @AMarch4OurLives, the fight for gun safety reform has gone from a cause to a movement.

We will end our gun violence epidemic — together. #2020GunSafety https://t.co/khPWpR0FOc",843,47,436,4245
6636,JoeBiden,1179536790312620039,10/02/2019,"President Trump broke his promise to America's farmers. He campaigned on having their backs, but now his administration is abandoning them and claiming family farms might not survive.
 
I will expand opportunities for our farmers — not count them out. https://t.co/8MHkvP8v6E",3475,174,681,12610
6637,JoeBiden,1179517664630206469,10/02/2019,"52 years ago, Thurgood Marshall became the first African American Supreme Court Justice. A legal giant in the struggle for civil rights—he relentlessly pushed America closer to our promise of liberty, equality, and justice for all. His voice forever changed the course of history.",764,25,212,4369
6638,JoeBiden,1179511372893360128,10/02/2019,"En el 1994, el senador Feinstein y yo dirigimos la lucha para prohibir las armas de fuego para asalto y las revistas de alta capacidad. Luchamos contra el @NRA y los vencimos.

Como presidente, volveré a prohibir estas armas de guerra. Las sacaremos de nuestras calles.",206,168,369,1103
6639,JoeBiden,1179506339812450304,10/02/2019,"In 1994, Senator Feinstein and I led the fight to ban assault weapons and high-capacity magazines. We took on the @NRA and got it done.

As president, I’ll ban these weapons of war once again. We will get them off our streets.

https://t.co/AbTUKdY7Bv https://t.co/u06FKHQv6D",389,33,270,1961
6640,JoeBiden,1179486054002376710,10/02/2019,"I'm about to take the stage at the #2020GunSafety Forum in Las Vegas to discuss my track record of taking on the @NRA and my new plan to end our gun violence epidemic.
 
Read the full plan at https://t.co/KtCufs5X3q and then watch live: https://t.co/xfA1mVkEZ3",272,17,169,1330
6641,JoeBiden,1179464816273965056,10/02/2019,"Thoughts and prayers won't end our gun violence epidemic. We need courage, and we need leadership. It's past time we take on the @NRA and pass common-sense gun safety reform.

Today, I released my plan to end our gun violence epidemic: https://t.co/rY7zY4Z3gT",426,36,287,2558
6642,JoeBiden,1179417780556312576,10/02/2019,".@DrBiden and I are sending our best wishes to @BernieSanders, Jane, and the whole Sanders family. Anyone who knows Bernie understands what a force he is. We are confident that he will have a full and speedy recovery and look forward to seeing him on the trail soon.",2740,132,426,29768
6643,JoeBiden,1179223189408419840,10/02/2019,President Trump is morally unfit to lead our country. https://t.co/r3SKYqK26K,8779,641,3509,62854
6644,JoeBiden,1179199820461797376,10/02/2019,"President Trump asked a foreign government to interfere in our elections, and now he's spending $10 million on attack ads against me. It's clear that he is trying to influence the primary and pick his opponent.

Why? Because he knows I’ll beat him like a drum.",6893,732,3835,46927
6645,JoeBiden,1179170376506474496,10/01/2019,"Weapons of war have no place on our streets.

We must take on the @NRA and ban assault weapons and high-capacity magazines. I’ve done it before, and I’ll do it again in the White House. https://t.co/hdVTM6YVF7",1554,120,901,7998
6646,JoeBiden,1179156534808453121,10/01/2019,"One of my favorite parts of debate night has become meeting our contest winners from around the country. God love ya, JoAnne. Thanks for coming to Houston.

Enter for your chance to join me at the next Democratic debate: https://t.co/2nIkSTykmS https://t.co/uPpiaxGe2s",150,13,144,829
6647,JoeBiden,1179142897184186370,10/01/2019,The brave people of Hong Kong deserve the full support of the United States as they demand the civil liberties and autonomy promised to them. Violent suppression is unacceptable. The world is watching. https://t.co/ruOJWceLYr,3018,259,677,8491
6648,JoeBiden,1179123064275161095,10/01/2019,"President Trump works for the @NRA.

I’ll work for the American people. https://t.co/vnuXbsWfDM",2154,118,787,11686
6649,JoeBiden,1179096137036382209,10/01/2019,"Two years ago, we watched in horror as 58 precious lives were cut short in the deadliest mass shooting in modern US history. As we remember those we lost in Las Vegas, we must honor them with action. We cannot let the scourge of gun violence tear our communities apart any longer.",1787,65,431,10577
6650,JoeBiden,1178789868811341824,09/30/2019,"Wonder why President Trump is lying about me? It's because he knows that I will beat him like a drum.

Chip in $5 before tonight’s public fundraising deadline to help us defeat Donald Trump and stop the outrageous lying and cheating he engages in: https://t.co/I2jAPpnURl https://t.co/yWcclnx5Zo",1627,323,2912,8855
6651,JoeBiden,1178745073564975105,09/30/2019,"Being middle class isn’t a number. It’s a value set. It’s about the issues that matter to every American family: a good education, economic opportunity, access to quality, affordable health care.

We've got to rebuild the middle class and, this time, ensure everyone comes along.",2145,2700,3855,12143
6652,JoeBiden,1178693484049510400,09/30/2019,Harris County Deputy Sandeep Dhaliwal was a hero and a trailblazer who selflessly served his community every day. @DrBiden and I are keeping his family and loved ones in our hearts. https://t.co/82ex0246hj,683,37,204,3966
6653,JoeBiden,1178669353987903490,09/30/2019,"Grateful for the leadership of @fred_guttenberg for finding purpose in tragedy.

We will beat the @NRA and end our gun violence epidemic. https://t.co/V5FaK1xDnu",4921,346,534,21281
6654,JoeBiden,1178470766049992704,09/30/2019,President Trump is trying to hijack this election. We cannot let him get away with it.,6775,687,4214,51027
6655,JoeBiden,1178459189783470082,09/29/2019,"We can combat climate change.
We can end our gun violence epidemic.
We can ensure every American has access to quality, affordable health care.

It’s all within our reach if we unite this country. There’s not a single thing we cannot do — together.",2015,219,1408,11697
6656,JoeBiden,1178452395308851201,09/29/2019,"We must end this epidemic of violence against the transgender community — especially trans women of color. It’s up to all of us to stand up and give hate no safe harbor.

Every American deserves to live open, proud, free and without fear. https://t.co/zdfQYpEpbZ",548,44,325,2519
6657,JoeBiden,1178417917899100160,09/29/2019,"Let’s be clear, this attack is designed to weaken our unions and take away workers’ voices on the job. It’s wrong. I stand with Alaska’s public employees. https://t.co/MbZxu1Ayzz",439,21,223,1769
