,id,timestamp,tweet,replies,retweets,quotes,likes
207,220233008739917824,07/03/2012,“You chose to be teachers because you know every child is entitled to do as well as they can.”—VP Biden to educators at the NEA convention,11,78,0,18
208,220246729092628480,07/03/2012,"VP at NEA, on Romney: “I can't think of a candidate for president who’s ever made such a direct assault on such an honorable profession.”",11,44,0,9
209,220259085784858624,07/03/2012,“Light a fire under these guys &amp; tell them we will not settle in education. We will not trade off education for other priorities.”—VP at NEA,15,62,0,15
210,220275539099914240,07/03/2012,President Obama is visiting Ohio this week—check out highlights from the VP’s trip to the Mahoning Valley last month: ,9,22,0,7
211,220897444676911104,07/05/2012,"The VP’s having coffee with a supporter, and it could be you. Pitch in for your chance to have a cup of joe with Joe: ",64,96,0,33
212,220948785902260229,07/05/2012,The President’s in Ohio today—don’t miss this video of VP Biden’s last swing through the Buckeye State: ,9,23,0,10
213,221288139484958721,07/06/2012,"Scranton, PA gave the VP a warm hometown welcome this week: ",5,17,0,8
214,221341096486256640,07/06/2012,"President Obama in Pittsburgh today: “If you still believe in me like I believe in you, I hope you will stand with me in 2012.”",17,52,0,10
215,221345724246405123,07/06/2012,"Check out photos, videos, and audio postcards from President Obama’s bus tour through Ohio and Pennsylvania: ",6,25,0,6
216,221673955067576320,07/07/2012,Donate $30 or more and you’ll get a Cup of Joe mug along with a chance to join the VP for coffee on the campaign trail: ,15,25,0,10
217,222347484154970113,07/09/2012,VP Biden shared his personal reasons for supporting a strong education system at the NEA’s annual assembly: ,4,14,0,9
